สถานะการเข้างาน,หมายเลขงาน,รหัสร้าน,ชื่อร้าน,โซน,ทีม,สัญญา,ผู้รับผิดชอบงาน,แผนเข้างาน,เวลาเริ่มงาน,เวลาปิดงาน
"ยังไม่เข้า","520004087690","B13115","สาขา เจริญราษฎร์ตัดใหม่","BS","BS1","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-22","",""
"ยังไม่เข้า","520004087692","B13116","สาขา ร่มเกล้า 27","BS","BS8","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-23","",""
"ตรงแผน","520004087695","B13118","สาขา ตลาดคู่สร้าง","BS","BS2","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-04","2024-07-05 02:40:36","2024-07-05 03:42:16"
"ยังไม่เข้า","520004087698","B13122","สาขา ทางหลวง 349(หนองซาก-พนัสนิคม)","REU","REU4","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-09","",""
"ตรงแผน","520004087699","B13123","สาขา ร้านค้าสวัสดิการ กองบัญชาการศึกษา","BN","BN3","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-05","2024-07-08 13:30:20","2024-07-08 14:09:50"
"ยังไม่เข้า","520004087700","B13128","สาขา เจ็ดคต(ทับกวาง)","RC","RC8SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-10","",""
"ยังไม่เข้า","520004087704","B13135","สาขา สุขเจริญ","RSL","RSL1","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-27","",""
"ตรงแผน","520004087705","B13136","สาขา เชิงเนินสมุย","RSU","RSU2","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-02","2024-07-04 14:36:52","2024-07-04 15:22:46"
"ยังไม่เข้า","520004087706","B13140","สาขา ชุมชนวัดเชิงเลน","RC","RC6SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-24","",""
"ตรงแผน","520004087707","B13142","สาขา บางแวก-สาย2(ซอยกล้วยไม้)","BW","BW5","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-04","2024-07-04 23:03:04","2024-07-04 23:23:36"
"ยังไม่เข้า","520004087710","B13146","สาขา สุขุมวิทพัทยา53(ตลาดปอยเปต)","REL","REL2","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-22","",""
"ตรงแผน","520004087711","B13147","สาขา ถนนอ่างศิลา-ชลบุรี","REU","REU3","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-08","2024-07-08 14:04:18","2024-07-08 14:48:23"
"ตรงแผน","520004087712","B13148","สาขา ตลาดสมาร์ทแลนด์ (มาบยางพร)","REL","REL4","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-02","2024-07-02 22:11:55","2024-07-02 23:08:51"
"ตรงแผน","520004087714","B13149","สาขา ตลาดเจริญสุข(จันทบุรี)","REL","REL6","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-05","2024-07-06 11:03:30","2024-07-06 11:59:54"
"ยังไม่เข้า","520004087715","B13150","สาขา สุขุมวิท-บ้านอำเภอ","REL","REL3","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-07","",""
"ตรงแผน","520004087716","B13151","สาขา ตลาดมารวย(หทัยราษฎร์)","BE","BE9SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-06","2024-07-09 09:51:37","2024-07-09 11:12:12"
"ตรงแผน","520004087717","B13152","สาขา อมรวิวัฒน์ จุด 4","BE","BE5","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-02","2024-07-04 15:39:06","2024-07-04 16:20:08"
"ยังไม่เข้า","520004087718","B13153","สาขา เลียบคลองหกวา จุด 2","BE","BE9SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-31","",""
"ยังไม่เข้า","520004087719","B13156","สาขา ถนนปั้น (กลางซอย)","BW","BW3","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-12","",""
"ยังไม่เข้า","520004087723","B13160","สาขา บุ่งกระเบา (นครนายก)","REU","REU5SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-12","",""
"ยังไม่เข้า","520004087724","B13162","สาขา ปตท.อู่ทอง-สวนแตง","RC","RC4","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-10","",""
"ยังไม่เข้า","520004087725","B13163","สาขา ปตท.โรจนะ-อุทัย(อยุธยา)","RC","RC7SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-11","",""
"ยังไม่เข้า","520004087726","B13164","สาขา ปตท.ครบุรี(COMPACT)","NEL","NEL1","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-11","",""
"ตรงแผน","520004087728","B13166","สาขา ปตท.แสนสุขวาริน","NEL","NEL5","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-01","2024-07-01 10:34:46","2024-07-01 15:01:35"
"ยังไม่เข้า","520004087729","B13167","สาขา สิรินธร-จรัสลาภ","BG","BG1","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-10","",""
"ยังไม่เข้า","520004087730","B13168","สาขา ท่าเรือศิริราช จุด 2","BG","BG2","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-15","",""
"ยังไม่เข้า","520004087731","B13171","สาขา บ้านสวน-สุขประยูร(หน้าค่าย)","REU","REU3","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-18","",""
"ตรงแผน","520004087733","B13174","สาขา ทรงพล ซอย 3","BG","BG3","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-03","2024-07-05 12:34:15","2024-07-05 14:01:53"
"ยังไม่เข้า","520004087735","B13176","สาขา ดีเค ซอย 7","BW","BW6","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-08","",""
"ยังไม่เข้า","520004087737","B13178","สาขา มณฑลทหารบกที่ 11","BN","BN2","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-19","",""
"ยังไม่เข้า","520004087739","B13182","สาขา ชุมชนเขากะลา","RC","RC1","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-22","",""
"ตรงแผน","520004087740","B13184","สาขา โรงพยาบาลนวมินทร์ 9","BE","BE7","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-08","2024-07-06 23:02:23","2024-07-06 23:41:54"
"ยังไม่เข้า","520004087741","B13186","สาขา ม.พฤกษา 16","BG","BG7SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-16","",""
"ตรงแผน","520004087742","B13187","สาขา ซอยรัตนาธิเบศร์ 10","BN","BN3","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-05","2024-07-07 02:12:15","2024-07-07 02:51:34"
"ยังไม่เข้า","520004087745","B13192","สาขา ปตท.อรรณนพพรเมืองพล","NEU","NEU1","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-10","",""
"ยังไม่เข้า","520004087746","B13194","สาขา ปตท.กรมวิทย์ฯ (กระทรวงสาธารณสุข)","BN","BN9","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-19","",""
"ยังไม่เข้า","520004087749","B13201","สาขา ปตท.บางภาษี (บางเลน)","BG","BG3","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-16","",""
"ยังไม่เข้า","520004087750","B13203","สาขา ปตท.นาทวี-คลองแงะ","RSL","RSL6SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-12","",""
"ยังไม่เข้า","520004087752","B13205","สาขา พหลโยธิน 58 จุด 3","BE","BE1","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-21","",""
"ยังไม่เข้า","520004087753","B13206","สาขา ซอยราชวิถี 40","BN","BN2","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-22","",""
"ยังไม่เข้า","520004087754","B13210","สาขา ปตท.ถนนมหิดล","RN","RN1","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-15","",""
"ตรงแผน","520004087755","B13214","สาขา ปตท.คุณเท่ง (ชะอำ)","RSU","RSU5","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-01","2024-07-01 15:01:58","2024-07-01 15:06:36"
"ยังไม่เข้า","520004087767","B13242","สาขา คาซ่า (วงแหวนบางขุนเทียน)","BW","BW6","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-22","",""
"ยังไม่เข้า","520004087768","B13243","สาขา ร้านสวัสดิการทหารเรือ(ทุ่งมหาเมฆ)","BW","BW2","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-09","",""
"ยังไม่เข้า","520004087769","B13251","สาขา อำเภอแม่พริก","RN","RN3","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-11","",""
"ยังไม่เข้า","520004087770","B13253","สาขา เพิ่มสิน 64","BE","BE2","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-28","",""
"ยังไม่เข้า","520004087771","B13254","สาขา พหลโยธิน 87 แยก 6","BN","BN7SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-17","",""
"ตรงแผน","520004087773","B13267","สาขา รามคำแหง ซอย 3/1","BS","BS4","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-04","2024-07-05 10:12:22","2024-07-05 10:34:39"
"ตรงแผน","520004087775","B13269","สาขา ถนนนครศรีฯ - ปากพนัง","RSL","RSL11SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-03","2024-07-03 10:23:33","2024-07-03 12:47:35"
"ยังไม่เข้า","520004087781","B13290","สาขา ปตท.พรานนก-พุทธมณฑล สาย 4","BG","BG1","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-26","",""
"ยังไม่เข้า","520004087782","B13291","สาขา ปตท.สุขุมแม่ฮ่องสอน","RN","RN1","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-27","",""
"ยังไม่เข้า","520004087785","B13295","สาขา พัฒนาการตัดใหม่","BS","BS4","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-15","",""
"ยังไม่เข้า","520004087786","B13298","สาขา ประชาอุทิศ 113","BS","BS2","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-22","",""
"ตรงแผน","520004087787","B13299","สาขา ปากซอยจรัญฯ 3","BG","BG2","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-04","2024-07-06 02:02:49","2024-07-06 03:41:35"
"ยังไม่เข้า","520004087789","B13302","สาขา ปตท.เรืองสุขใส 2","RSL","RSL11SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-25","",""
"ยังไม่เข้า","520004087795","B13320","สาขา ปตท.เทพารักษ์ กม.10","BS","BS9SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-22","",""
"ตรงแผน","520004087798","B13332","สาขา ม.พะเยา จุด 1(อาคาร 99 ปี)","RN","RN2","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-09","2024-07-09 15:10:24","2024-07-09 16:10:09"
"ยังไม่เข้า","520004087801","B13334","สาขา ปตท.ท่าพริก-ตราด","REL","REL6","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-19","",""
"ตรงแผน","520004087806","B13348","สาขา ปตท.วังพิกุล","RN","RN5","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-04","2024-07-04 09:39:10","2024-07-04 10:04:16"
"ยังไม่เข้า","520004087808","B13349","สาขา ปตท.ชาติตระการ","RN","RN5","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-26","",""
"ยังไม่เข้า","520004087809","B13350","สาขา รัชดา 36 แยก 9-3-2","BE","BE6","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-20","",""
"ตรงแผน","520004087810","B13351","สาขา ปตท.ลดาวัลย์-ราชพฤกษ์","BG","BG7SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-03","2024-07-05 00:28:01","2024-07-05 01:30:27"
"ตรงแผน","520004087814","B13363","สาขา รพ.เกษมราษฎร์ ศรีบุรินทร์","RN","RN2","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-04","2024-07-04 15:00:48","2024-07-04 16:07:24"
"ยังไม่เข้า","520004087819","B13374","สาขา เดอะวอร์ค พานทอง","REU","REU4","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-20","",""
"ยังไม่เข้า","520004087821","B13378","สาขา ปตท.ศรีเมืองใหม่","NEL","NEL5","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-18","",""
"ยังไม่เข้า","520004087823","B13379","สาขา ปตท.แม่ฟ้าหลวง","RN","RN2","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-31","",""
"ยังไม่เข้า","520004087824","B13380","สาขา ปตท.สุรชัยอำนาจเจริญ 2","NEL","NEL6","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-27","",""
"ยังไม่เข้า","520004087826","B13387","สาขา PORTO GO BANG PA-IN","RC","RC6SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-26","",""
"ยังไม่เข้า","520004087828","B13388","สาขา ปตท.พนัส-ทุ่งเหียง(ทางหลวง3284)","REU","REU4","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-09","",""
"ยังไม่เข้า","520004087834","B13395","สาขา พุน้อย","RSU","RSU4","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-28","",""
"ยังไม่เข้า","520004087836","B13396","สาขา CP TOWER 1 ขอนแก่น","NEU","NEU1","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-16","",""
"ยังไม่เข้า","520004087843","B13412","สาขา ปตท.เพ็ญ","NEU","NEU4SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-19","",""
"ยังไม่เข้า","520004087845","B13418","สาขา ปตท.ธงชัยปิโตรเลียมศรีสะเกษ","NEL","NEL5","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-23","",""
"ตรงแผน","520004087847","B13421","สาขา ปตท.เอกชัย-บางบอน","BW","BW8SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-10","2024-07-09 02:35:54","2024-07-09 03:12:24"
"ยังไม่เข้า","520004087849","B13424","สาขา ปตท.พุทธสาคร-สวนหลวง","BW","BW9SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-24","",""
"ยังไม่เข้า","520004087850","B13425","สาขา ปตท.มาลัยแมน กม.39","BG","BG3","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-23","",""
"ตรงแผน","520004087851","B13426","สาขา จุฬาภรณ์","RSL","RSL11SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-02","2024-07-02 10:57:37","2024-07-02 17:32:48"
"ยังไม่เข้า","520004087854","B13432","สาขา ปตท.ตะคองเก่า","NEL","NEL1","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-29","",""
"ยังไม่เข้า","520004087859","B13438","สาขา ปตท.คำตากล้า","NEU","NEU5SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-25","",""
"ตรงแผน","520004087861","B13442","สาขา ปตท.หัวสนามบินอุบล","NEL","NEL5","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-04","2024-07-06 11:41:38","2024-07-06 13:01:04"
"ยังไม่เข้า","520004087862","B13443","สาขา ปตท.บายพาสเดชอุดม","NEL","NEL5","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-29","",""
"ยังไม่เข้า","520004087863","B13444","สาขา เค.ซี.โมเดิร์นวิลล์(ประชาอุทิศ)","BS","BS2","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-17","",""
"ยังไม่เข้า","520004087866","B13448","สาขา ปตท.เขาชัยสน","RSL","RSL8SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-12","",""
"ยังไม่เข้า","520004087868","B13451","สาขา ปตท.บรมไตรโลกนารถ","RN","RN5","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-16","",""
"ยังไม่เข้า","520004087870","B13455","สาขา ปตท.ท่าแซะ 2","RSU","RSU3","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-15","",""
"ยังไม่เข้า","520004087873","B13464","สาขา ปตท.พระราม 2 กม.20","BW","BW8SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-27","",""
"ยังไม่เข้า","520004087877","B13481","สาขา สุขุมวิท 24 (THE GRAND)","BS","BS3","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-23","",""
"ยังไม่เข้า","520004087879","B13485","สาขา ปตท.ราชมงคลหันตรา (อยุธยา)","RC","RC6SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-31","",""
"ยังไม่เข้า","520004087880","B13486","สาขา ปตท.ธรรมศาลา (ขาเข้า)","BG","BG3","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-23","",""
"ยังไม่เข้า","520004087884","B13497","สาขา ชุมชนสมัยคงคา","RSU","RSU2","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-23","",""
"ยังไม่เข้า","520004087885","B13498","สาขา ซอยพรุใหญ่","RSL","RSL1","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-09","",""
"ยังไม่เข้า","520004087886","B13499","สาขา ตำบลบางจาก นครศรีฯ","RSL","RSL11SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-15","",""
"ยังไม่เข้า","520004087889","B13507","สาขา หน้าศูนย์ราชการเกาะพะงัน","RSU","RSU2","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-14","",""
"ยังไม่เข้า","520004087890","B13509","สาขา ปตท.จอมทองซอย 4","BW","BW4","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-21","",""
"ยังไม่เข้า","520004087893","B13517","สาขา บ้านล่างห้วยโป่ง(ระยอง)","REL","REL5","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-22","",""
"ยังไม่เข้า","520004087895","B13523","สาขา เอซีเฮ้าท์ 2 ลำลูกกาคลอง 4","BE","BE8","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-10","",""
"ยังไม่เข้า","520004087896","B13524","สาขา มิตรประชา จุด 2","BN","BN4","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-30","",""
"ยังไม่เข้า","520004087897","B13525","สาขา ปตท.สิงหนคร 2","RSL","RSL5SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-24","",""
"ยังไม่เข้า","520004087898","B13526","สาขา พรประภานิมิตร 17","REL","REL1","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-20","",""
"ยังไม่เข้า","520004087900","B13531","สาขา คลองหลวง 17","BN","BN5SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-14","",""
"ยังไม่เข้า","520004087901","B13532","สาขา ม.ชวนชื่น (รามอินทรา 65)","BE","BE2","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-18","",""
"ยังไม่เข้า","520004087904","B13535","สาขา สาธุประดิษฐ์ 58(ท้ายซอย)","BS","BS1","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-11","",""
"ยังไม่เข้า","520004087905","B13536","สาขา ม.พฤกษาวิลล์ 42 (ถนนเทอดไท)","BW","BW4","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-17","",""
"ยังไม่เข้า","520004087907","B13537","สาขา สี่แยกสนามบินนอก","RSL","RSL5SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-19","",""
"ตรงแผน","520004087908","B13538","สาขา บ้านท่าดี(ลานสกา)","RSL","RSL11SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-04","2024-07-04 12:22:05","2024-07-04 14:39:36"
"ยังไม่เข้า","520004087911","B13544","สาขา ลาดกระบัง 14 / 1","BS","BS8","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-20","",""
"ยังไม่เข้า","520004087912","B13545","สาขา อุดมสุข 44","BS","BS5","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-31","",""
"ยังไม่เข้า","520004087914","B13548","สาขา หมู่บ้านธนารินทร์ 2","BS","BS2","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-24","",""
"ยังไม่เข้า","520004087916","B13551","สาขา ม.พฤกษาปุริ","BE","BE9SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-29","",""
"ยังไม่เข้า","520004087917","B13553","สาขา รามอินทรา ซ.5 แยก 1","BE","BE2","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-16","",""
"ยังไม่เข้า","520004087919","B13555","สาขา คลองหลวง 27","BN","BN5SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-16","",""
"ยังไม่เข้า","520004087921","B13557","สาขา ตลาดนัดเมย์ มาร์เก็ด (ซอยวัดหลวงพ่อ","BS","BS9SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-24","",""
"ยังไม่เข้า","520004087922","B13561","สาขา บึงระหาร(สามชุก)","RC","RC4","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-18","",""
"ตรงแผน","520004087923","B13562","สาขา หน้าหมู่บ้านการเคหะ(สุพรรณบุรี)","RC","RC4","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-05","2024-07-06 09:41:44","2024-07-06 10:43:10"
"ยังไม่เข้า","520004087924","B13564","สาขา รามคำแหง 118 จุด 2","BE","BE4","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-11","",""
"ยังไม่เข้า","520004087926","B13567","สาขา ที่ว่าการอำเภอเมืองพิจิตร","RN","RN7","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-28","",""
"ยังไม่เข้า","520004087928","B13569","สาขา ต.จันจว้า","RN","RN2","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-15","",""
"ยังไม่เข้า","520004087929","B13571","สาขา อดุลซิตี้","NEU","NEU1","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-24","",""
"ยังไม่เข้า","520004087930","B13573","สาขา สุมเส้าอุดรธานี","NEU","NEU4SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-22","",""
"ยังไม่เข้า","520004087931","B13575","สาขา เปรมประชากร จุด 2","BN","BN3","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-11","",""
"ยังไม่เข้า","520004087933","B13579","สาขา ร่มประดู่(ซอยวัดหลวงพ่อโต)","BS","BS9SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-24","",""
"ยังไม่เข้า","520004087934","B13580","สาขา บางอ้อ HOME TOWN","BG","BG1","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-24","",""
"ยังไม่เข้า","520004087935","B13582","สาขา M SAP พหลโยธิน 18","BN","BN1","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-12","",""
"ยังไม่เข้า","520004087936","B13583","สาขา พฤกษา 8","BG","BG4","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-16","",""
"ตรงแผน","520004087938","B13585","สาขา บ้านอยู่สุข(อ้อมใหญ่)","BW","BW9SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-07","2024-07-08 23:54:23","2024-07-09 01:31:28"
"ยังไม่เข้า","520004087941","B13588","สาขา ตลาด ส.นงนุช","NEU","NEU4SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-11","",""
"ยังไม่เข้า","520004087942","B13589","สาขา ปตท.ละหานทราย","NEL","NEL4","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-25","",""
"ยังไม่เข้า","520004087944","B13590","สาขา ปตท.งาวไฮเวย์","RN","RN2","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-10","",""
"ตรงแผน","520004087945","B13591","สาขา ปตท.บ้านแลง (ระยอง)","REL","REL5","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-04","2024-07-05 14:12:26","2024-07-05 14:32:30"
"ยังไม่เข้า","520004087946","B13593","สาขา ภัทรนิเวศน์(สามัคคี)","BN","BN3","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-24","",""
"ยังไม่เข้า","520004087949","B13595","สาขา ปตท.บางพลู","BG","BG5SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-15","",""
"ยังไม่เข้า","520004087950","B13597","สาขา ถนนดินสอ จุด 3","BG","BG2","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-10","",""
"ยังไม่เข้า","520004087952","B13598","สาขา ชุมชนศรีประชา (วังน้อย)","RC","RC7SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-17","",""
"ยังไม่เข้า","520004087955","B13603","สาขา ตลาดหมอนนาง(พนัสนิคม)","REU","REU4","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-09","",""
